HOUSEID,URBRUR,HOMEOWN,RATIO16V,RATIO16W,RATIOWV,TRAVDAY,HHNUMBIK,TELCELL,TELLAND,HHFAMINC,HHTOTD,NUMADLT,HHSIZE,CNTTDHH,HHVEHCNT,WRKCOUNT,DRVRCNT,HHSTATE,HTPPOPDN,HTHRESDN,HTEEMPDN
2M0008958,1,1,1,1,1,2,4,2,1,18,12,2,4,29,2,2,2,MD,1500,700,750
2M0008964,1,1,1,0,0,2,0,1,1,12,12,1,1,5,1,0,1,MD,750,700,350
2M0008970,1,1,1,1,1,2,0,1,1,13,12,1,1,11,1,1,1,MD,3000,700,1500
2M0008975,1,2,1,1,1,5,0,1,1,-7,14,1,1,4,1,1,1,MD,7000,4000,5000
2M0008977,2,1,1,1,1,5,0,0,1,6,14,1,1,2,1,1,1,MD,300,150,150
2M0008978,1,1,1.5,1,1.5,5,3,2,1,17,14,3,3,8,2,3,3,MD,1500,700,750
2M0008982,1,2,1,0,0,5,2,0,1,2,14,1,1,4,1,0,0,MD,7000,4000,5000
2M0008993,2,1,1,2,0.5,5,2,3,1,-7,14,2,5,18,2,1,2,MD,300,150,75
2M0008995,1,1,1,0,0,5,0,0,1,4,14,2,2,14,2,0,2,MD,7000,2000,3000
2M0008999,1,1,0.5,1,0.5,5,0,1,1,8,14,1,2,7,2,1,1,MD,50,25,25
2M0009001,1,1,1,1,1,5,0,1,1,18,14,2,2,1,2,2,2,MD,1500,700,750
2M0009027,1,1,0.6667,0,0,5,0,2,1,9,13,2,2,8,3,0,2,MD,7000,2000,3000
2M0009036,1,1,1,2,0.5,7,3,1,2,15,10,2,2,16,2,1,2,MD,7000,2000,3000
2M0009037,1,1,1,1,1,7,4,3,1,18,10,2,2,10,2,2,2,MD,750,150,350
2M0009039,1,1,2,2,1,7,0,0,1,6,10,2,3,7,1,1,2,MD,7000,2000,3000
2M0009040,1,1,0.6667,1,0.6667,5,0,1,1,-7,12,2,2,8,3,2,2,MD,300,150,350
2M0009047,1,1,1,1,1,1,0,1,1,12,10,1,1,3,1,1,1,MD,7000,2000,3000
2M0009048,1,1,1,1,1,1,0,2,1,15,10,2,4,12,2,2,2,MD,3000,2000,1500
2M0009050,1,1,1,1,1,1,0,0,1,13,10,1,1,0,1,1,1,MD,1500,700,1500
2M0009061,1,1,1,1,1,5,1,0,1,8,13,1,1,6,1,1,1,MD,1500,700,750
2M0009076,1,1,1,0,0,5,2,1,2,-7,11,2,2,25,2,0,2,MD,750,700,350
2M0009080,2,1,1,1,1,5,0,0,1,-7,11,1,1,0,1,1,1,MD,300,150,150
2M0009082,1,1,0.6667,1,0.6667,5,0,1,1,14,11,2,2,8,3,2,2,MD,1500,700,750
2M0009086,1,1,1,1,1,7,2,1,1,17,10,2,2,11,2,2,2,MD,3000,2000,1500
2M0009098,1,2,1,1,1,4,1,0,1,9,11,1,1,7,1,1,1,MD,17000,6000,5000
2M0009104,1,2,2,1,2,1,0,1,1,13,10,2,2,3,1,2,1,MD,3000,2000,1500
2M0009105,1,1,0.6667,0,0,2,0,0,1,9,11,2,2,4,3,0,1,MD,30000,6000,-9
2M0009111,1,1,0,0,0,1,0,0,1,-7,10,1,1,2,0,0,0,MD,7000,2000,1500
2M0009113,1,1,0,0,0,1,0,0,1,2,10,1,1,0,0,0,0,MD,7000,2000,3000
2M0009115,1,1,2,0,0,6,0,1,1,-7,11,2,2,8,1,0,1,MD,17000,6000,-9
2M0009120,1,2,0,0,0,1,0,0,1,2,10,1,1,0,0,0,1,MD,30000,6000,-9
2M0009122,1,1,0,1,0,1,1,0,1,10,10,2,2,7,0,2,0,MD,30000,6000,-9
2M0009127,1,1,1,0,0,2,0,0,1,4,11,1,1,8,1,0,1,MD,7000,2000,3000
2M0009141,1,1,1,1,1,5,0,1,1,7,11,1,3,9,1,1,1,MD,30000,6000,-9
2M0009142,1,2,2,1,2,2,2,1,1,18,11,2,2,13,1,2,2,MD,17000,6000,-9
2M0009144,1,1,1,1,1,2,2,2,1,17,11,2,2,11,2,2,2,MD,30000,6000,-9
2M0009161,1,2,0,0,0,2,2,0,1,-7,11,3,3,0,0,0,1,MD,7000,6000,3000
2M0009174,1,2,1,0,0,2,0,1,2,6,11,1,1,4,1,0,1,MD,17000,6000,-9
2M0009185,1,1,1,1,1,2,3,4,2,15,11,2,4,6,3,3,2,MD,17000,6000,-9
2M0009186,1,2,2,1,2,4,0,2,1,2,7,2,2,8,1,2,1,MD,17000,6000,-9
2M0009191,1,1,1,1,1,4,2,3,1,17,12,3,3,14,3,3,3,MD,17000,6000,5000
2M0009193,1,2,0,0,0,2,0,0,1,-7,11,1,1,0,0,0,1,MD,17000,6000,5000
2M0009199,1,2,0,0,0,2,0,0,1,-7,11,2,2,0,0,0,0,MD,30000,6000,-9
2M0009209,1,2,0,0,0,2,0,0,1,-7,11,-8,2,6,1,0,2,MD,17000,6000,5000
2M0009214,1,2,1,1,1,2,0,0,1,17,11,2,2,6,2,2,2,MD,17000,6000,5000
2M0009222,1,1,0.3333,1,0.3333,2,1,2,3,-7,11,-8,4,10,3,1,2,MD,17000,6000,5000
2M0009223,1,1,0,0,0,2,0,0,1,6,11,1,1,5,0,0,0,MD,7000,4000,3000
2M0009224,1,1,1,1,1,2,1,1,1,18,11,2,2,4,2,2,2,MD,30000,6000,-9
2M0009232,1,2,0,0,0,3,0,0,1,2,12,1,1,3,0,0,0,MD,7000,2000,1500
2M0009235,1,2,1,1,1,4,0,0,1,6,12,1,1,0,1,1,1,MD,17000,6000,5000
2M0009272,1,2,1,2,0.5,3,1,2,1,14,12,2,2,12,2,1,2,MD,17000,6000,-9
2M0009297,1,1,1,1,1,3,0,2,1,18,11,2,2,6,2,2,2,MD,30000,6000,-9
2M0009299,1,1,0,0,0,3,0,0,1,4,12,2,2,4,0,0,0,MD,17000,6000,3000
2M0009303,1,2,2,2,1,4,0,1,1,6,12,2,2,9,1,1,1,MD,17000,6000,5000
2M0009307,1,2,0,0,0,3,0,0,1,-7,11,1,1,3,0,0,0,MD,7000,4000,5000
2M0009314,1,1,3,1.5,2,5,0,2,2,8,11,3,3,8,1,2,1,MD,30000,6000,5000
2M0009315,1,1,1,1,1,3,0,0,1,6,11,1,1,2,1,1,1,MD,17000,6000,-9
2M0009316,1,1,1,1,1,3,2,2,2,-7,11,2,2,13,2,2,2,MD,17000,6000,-9
2M0009321,1,2,0,0,0,3,0,0,1,2,11,1,1,2,0,0,0,MD,17000,6000,-9
2M0009326,1,2,1,1,1,3,2,2,2,18,11,2,2,9,2,2,2,MD,17000,6000,5000
2M0009327,1,2,1,1,1,6,0,0,1,3,7,1,1,2,1,1,1,MD,17000,6000,-9
2M0009335,1,2,1,1,1,4,0,2,1,-7,11,2,2,6,2,2,2,MD,17000,6000,5000
2M0009341,1,2,0,0,0,3,0,1,1,-7,11,1,1,2,0,0,0,MD,17000,6000,-9
2M0009346,1,1,2,0,0,3,0,1,1,5,11,2,2,2,1,0,1,MD,17000,6000,5000
2M0009347,1,1,0,0,0,3,0,0,1,4,11,2,2,2,0,0,0,MD,30000,6000,-9
2M0009362,1,2,0,1,0,4,2,0,1,5,12,1,4,16,0,1,1,MD,30000,6000,-9
2M0009366,1,1,0,0,1,4,0,1,1,3,12,-8,1,3,1,1,1,MD,17000,6000,5000
2M0009371,1,2,0,1,0,4,2,1,1,8,12,2,3,10,0,2,0,MD,17000,6000,5000
2M0009379,1,2,1,1,1,5,2,3,1,18,12,3,3,4,3,3,3,MD,17000,6000,5000
2M0009380,1,2,0,2,0,4,0,1,2,2,12,2,2,3,0,1,0,MD,30000,6000,-9
2M0009381,1,1,1,1,1,4,0,1,1,-7,12,1,1,2,1,1,1,MD,17000,6000,5000
2M0009391,1,2,0,0,0,4,0,0,1,5,12,1,1,2,0,0,0,MD,17000,6000,5000
2M0009418,1,1,1.5,1,1.5,4,5,3,1,17,11,3,7,28,2,3,2,MD,17000,6000,5000
2M0009423,1,1,1,0,0,4,0,0,1,4,11,2,2,6,2,0,2,MD,17000,6000,5000
2M0009425,1,2,1,1,1,4,1,1,1,18,11,1,1,6,1,1,1,MD,17000,6000,5000
2M0009431,1,2,1,1,1,4,0,1,1,10,11,1,1,3,1,1,1,MD,7000,6000,5000
2M0009437,1,1,2,1,2,4,0,2,1,12,11,2,2,8,1,2,1,MD,17000,6000,5000
2M0009451,1,2,0,1,0,6,0,0,1,-7,8,1,4,10,0,1,0,MD,17000,6000,5000
2M0009458,1,1,0.5,1,0.5,5,0,1,1,18,9,1,1,4,2,1,1,MD,17000,6000,5000
2M0009466,1,2,1.5,1.5,1,4,0,2,2,5,12,3,3,12,2,2,2,MD,7000,2000,3000
2M0009483,1,1,1,0,0,5,2,-7,1,-7,10,2,2,8,2,0,2,MD,1500,700,1500
2M0009484,1,1,0.25,1,0.25,5,0,2,3,10,10,1,1,6,4,1,1,MD,750,700,350
2M0009489,1,1,1.3333,2,0.6667,5,2,2,2,17,10,3,4,10,3,2,3,MD,1500,700,750
2M0009492,1,2,1,1,1,5,0,1,2,15,10,1,1,0,1,1,1,MD,3000,2000,1500
2M0009493,1,1,1,1,1,5,1,0,1,18,10,2,2,7,2,2,2,MD,7000,2000,3000
2M0009500,1,1,1,1,1,4,0,2,1,-7,12,2,5,20,2,2,2,MD,3000,700,1500
2M0009508,1,2,1,1,1,5,0,2,1,10,10,2,2,4,2,2,2,MD,3000,2000,1500
2M0009509,1,2,0,0,0,5,2,0,1,1,10,1,4,8,0,0,0,MD,7000,4000,3000
2M0009510,1,1,1,1,1,5,0,0,1,12,10,2,5,28,2,2,2,MD,750,700,350
2M0009512,1,1,0,0,0,5,0,0,1,-7,10,2,2,0,0,0,0,MD,7000,4000,3000
2M0009514,1,1,1,1.5,0.6667,5,1,0,1,-7,10,3,3,9,3,2,3,MD,7000,2000,3000
2M0009520,1,1,1.5,1.5,1,5,1,1,1,11,10,3,4,6,2,2,3,MD,1500,700,750
2M0009521,1,1,1,1,1,5,2,0,1,7,10,1,1,3,1,1,1,MD,7000,2000,3000
2M0009523,1,1,1,0,0,5,0,0,1,-7,10,1,1,5,1,0,1,MD,7000,4000,5000
2M0009526,1,1,0,0,0,5,0,0,1,4,10,1,1,6,0,0,1,MD,17000,6000,5000
2M0009531,1,1,1,0,0,6,0,0,1,4,11,2,2,0,2,0,2,MD,7000,2000,3000
2M0009534,1,1,2,0,0,5,0,0,1,1,11,2,2,4,1,0,2,MD,7000,4000,5000
2M0009549,1,1,1,1,1,6,1,1,1,16,11,2,2,16,2,2,2,MD,17000,6000,5000
2M0009552,1,1,0,0,1,6,0,2,2,17,11,-8,2,9,2,2,2,MD,1500,700,750
2M0009553,2,1,1,1,1,6,2,1,1,11,11,2,4,30,2,2,2,MD,1500,700,750
2M0009555,1,1,0.5,0,0,6,0,0,1,2,11,1,1,7,2,0,1,MD,300,150,150
2M0009558,1,1,0.6667,1,0.6667,6,2,2,1,18,11,2,2,6,3,2,2,MD,7000,2000,3000
2M0009564,1,2,1.5,1,1.5,5,0,1,1,8,11,3,4,7,2,3,2,MD,3000,2000,1500
2M0009567,1,1,2,1,2,6,0,1,1,6,11,2,2,15,1,2,1,MD,17000,6000,5000
2M0009568,1,1,1,1,1,6,-8,2,1,18,11,2,2,11,2,2,2,MD,7000,2000,3000
2M0009571,1,1,1,0,0,6,6,1,2,10,10,2,2,8,2,0,2,MD,1500,700,750
2M0009574,1,2,2,1,2,6,0,1,1,5,10,2,4,9,1,2,2,MD,7000,2000,3000
2M0009577,1,2,1,0,0,6,0,0,1,2,10,1,1,2,1,0,1,MD,7000,4000,5000
2M0009578,1,1,0,0,0,6,0,0,1,-7,8,1,1,4,0,0,0,MD,17000,6000,3000
2M0009579,1,1,2,1,2,6,0,2,1,9,10,2,2,12,1,2,2,MD,7000,4000,5000
2M0009586,1,2,0,1,0,6,0,0,1,5,10,1,1,2,0,1,0,MD,7000,2000,3000
2M0009589,1,1,1,0,0,6,0,1,1,12,10,2,2,3,2,0,2,MD,750,700,350
2M0009605,2,1,0.25,0,0,6,2,1,1,14,10,1,1,0,4,0,1,MD,300,150,150
2M0009606,1,2,1,1,1,6,0,1,1,8,10,2,4,24,2,2,2,MD,7000,2000,3000
2M0009611,1,1,1,1,1,6,0,0,1,7,10,1,1,2,1,1,1,MD,17000,6000,5000
2M0009614,1,1,1,1,1,3,0,0,1,8,11,1,1,4,1,1,1,MD,7000,2000,3000
2M0009615,1,1,1,1,1,7,0,1,1,7,11,1,1,2,1,1,1,MD,750,150,350
2M0009618,1,1,1,0,0,7,1,1,1,11,11,2,4,6,2,0,2,MD,17000,6000,-9
2M0009626,1,1,1,0,0,7,0,0,1,8,11,2,2,1,2,0,2,MD,1500,700,1500
2M0009636,2,1,1,1,1,1,1,0,1,9,12,1,1,1,1,1,1,MD,300,150,150
2M0009646,1,1,1,0,0,1,1,1,1,-7,12,1,1,0,1,0,1,MD,3000,2000,1500
2M0009654,1,1,1,0,0,2,0,0,1,1,13,1,1,4,1,0,1,MD,7000,6000,5000
2M0009656,1,1,1.5,1.5,1,2,3,2,1,11,13,2,3,5,2,2,3,MD,750,700,350
2M0009659,1,1,1,0,0,2,0,0,1,-7,13,1,1,2,1,0,1,MD,7000,4000,3000
2M0009662,1,1,1,0,0,2,1,1,1,12,12,2,2,3,2,0,2,MD,300,150,150
2M0009674,1,2,2,0,0,2,0,0,1,3,12,2,2,2,1,0,2,MD,17000,6000,5000
2M0009676,1,2,0,3,0,2,0,0,1,5,12,3,3,2,0,1,1,MD,17000,6000,5000
2M0009685,2,1,0.8,1.3333,0.6,2,3,4,1,18,12,3,6,12,5,3,4,MD,300,25,75
2M0009692,1,1,2,0,0,2,0,0,1,8,12,2,2,6,1,0,2,MD,750,700,350
2M0009694,1,2,0,0,0,4,0,0,1,2,12,1,1,2,0,0,0,MD,17000,6000,3000
2M0009703,1,2,1,1,1,5,1,2,1,12,10,2,2,13,2,2,2,MD,17000,6000,-9
2M0009706,1,2,2,0,0,2,0,1,2,18,12,2,2,6,1,0,2,MD,7000,4000,3000
2M0009709,1,1,1,2,0.5,2,0,0,1,-7,12,2,2,9,2,1,2,MD,17000,4000,5000
2M0009712,1,1,2,1,2,2,2,0,2,8,12,2,2,10,1,2,2,MD,7000,4000,3000
2M0009714,1,2,1,2,0.5,2,0,0,1,5,12,2,2,4,2,1,2,MD,750,700,350
2M0009716,2,1,1,1.3333,0.75,2,2,3,2,18,12,3,5,13,4,3,4,MD,300,150,75
2M0009725,1,1,0.6667,1,0.6667,2,0,2,1,15,13,2,5,19,3,2,2,MD,1500,700,350
2M0009730,2,1,1,2,0.5,2,0,1,1,4,12,2,2,2,2,1,2,MD,300,150,150
2M0009741,1,1,1,1,1,2,1,1,1,11,12,1,1,2,1,1,1,MD,3000,700,1500
2M0009744,1,1,0.6667,0,0,3,1,1,1,8,13,2,2,10,3,0,1,MD,750,150,350
2M0009749,1,1,1.5,1,1.5,3,1,2,2,12,13,3,4,19,2,3,3,MD,3000,700,1500
2M0009759,1,2,0,0,0,3,0,0,1,2,13,-8,2,4,0,0,0,MD,17000,6000,5000
2M0009764,1,2,0,1,0,3,0,0,1,2,12,1,1,2,0,1,0,MD,17000,6000,5000
2M0009780,1,1,0,0,0.6667,3,0,0,1,-7,12,-8,2,5,3,2,2,MD,1500,700,750
